#,ID,Continent,Continent_detail,Country,Full year ,Date mean in BP,Lat.,Long.,As_Ru_3K_0.9K_BCE,As_Ru_5.8K_3.6K_BCE,As_Ru_37.4K_3K_BCE,As_Ru_E_0.1K_1.4K_CE,C_Af_6K_1K_BCE,C_NW_As_2.2K_1.6K_BCE,C_N_As_BCE,C_N_As_CE,E_Af_2.5KBCE_1.6KCE,E_As_6KBCE_0.25KCE,E_C_Eu_6K_2K_BCE,E_Eu_9K_3K_BCE,E_Eu_CE,E_Eu_Po_3K_2.3K_BCE,M_Am_0.6K_1.7K_CE,M_Am_Cuba_1.4KBCE_1.3KCE,NN_Am_1K_2.0K_CE,N_Am_11.5KBCE_1.2KCE,N_Eu_0.7K_1.7K_CE,Oceania_1KBCE_2KCE,SE_As_6KBCE_0.8KCE,SN_Am_3.5KBCE_1.5KCE,SW_As_8K_1.1K_BCE,SW_C_As_9K_0.8K_BCE,S_Am_CE,S_Eu_5.4K_1K_BCE,S_Eu_16K_5K_BCE,S_Eu_CE,S_M_Am_10K_1.5K_BCE,W_Eu_5.5K_2.5K_BCE,W_Eu_30K_5K_BCE,W_Eu_38K_BCE,W_Eu_CE,W_Eu_GB_4K_2.5K_BCE
9216,I4420_all,Europe,South Europe,Spain,"1879-1697 BCE (3466¡À16 BP) [R_combine: (3454¡À26 BP, D-AMS018425); (3473¡À20 BP, MAMS-22647)]",3748,38.686574,1.421209,0,0,0.0022,0,0,0.0093,0.0937,0.0335,0.0019,0,0.0824,0,0.0598,0.01,0,0,0,0.0049,0.0555,0,0,0.0052,0,0.0116,0,0.3372,0.0777,0.0931,0,0.0732,0.0071,0,0.0157,0.0121
9217,I1799,Asia,South Asia,Pakistan,"1124-984 BCE (2876¡À19 BP) [R_combine: (2830¡À20 BP, PSUAMS-2632); (3098¡À45 BP, CEDAD-LTL13335A)]",3003,34.74319444,72.31421667,0.0138,0.011,0,0,0.002,0.0518,0.0224,0,0.0054,0,0,0.0043,0,0.0033,0.0077,0,0,0,0,0.0071,0.065,0,0,0.7664,0.0026,0.0239,0,0,0.0087,0,0,0.0004,0.0031,0
9218,I1976,Europe,South Europe,Spain,"2571-2347 calBCE (3960¡À30 BP, Beta-299306)",4427,42.57,-2.62,0,0,0,0,0,0,0,0,0,0,0.0027,0,0,0,0,0,0,0,0.016,0.0014,0.0046,0,0.0316,0,0,0.7674,0.1339,0,0,0.0137,0.0269,0,0,0
9219,I2471,Europe,South Europe,Spain,"1620-1462 calBCE (3280¡À30 BP, Beta-299311)",3500,42.57,-2.62,0,0,0,0,0,0.018,0,0,0.0026,0,0.0621,0.0139,0.0562,0,0,0,0,0,0,0,0,0,0.0183,0,0,0.3693,0.1122,0.2432,0,0.0402,0.0142,0.0022,0.0337,0.0138
9220,I2473,Europe,South Europe,Spain,"2916-2704 calBCE (4250¡À30 BP, Beta-299305)",4811,42.57,-2.62,0,0,0,0,0,0.0026,0,0,0,0,0.0197,0.0259,0.0419,0.0096,0,0,0,0.0061,0,0.0102,0,0,0,0,0,0.686,0.1472,0.0245,0,0.0146,0.0116,0,0,0
9221,I3214,Europe,South Europe,Spain,3400-3100 BCE,5200,43.41022,-5.98496,0.0015,0,0.0033,0,0,0,0,0,0.027,0,0.0226,0,0,0.0136,0,0,0,0,0.0427,0,0,0.0171,0.004,0,0,0.4898,0.1311,0,0,0.1791,0.0436,0.003,0,0.0213
9222,I3239,Europe,South Europe,Spain,2500-2200 BCE,4300,43.41022,-5.98496,0,0,0,0,0,0.0082,0,0,0,0,0,0.0485,0.0551,0.0097,0,0.0037,0,0.003,0,0.0075,0,0,0.0093,0,0,0.3181,0.104,0.3478,0,0,0.0319,0.0028,0.05,0
9223,I3260,Asia,South Asia,Pakistan,"1009-908 BCE (2806¡À18 BP) [R_combine: (2740¡À20 BP, PSUAMS-2798); (3056¡À40 BP, CEDAD-LTL13332A)]",2908,34.74319444,72.31421667,0.0158,0.0093,0,0.0062,0,0.0418,0.0605,0,0.0066,0,0.0057,0.0158,0.0286,0,0.003,0.0041,0,0,0,0.0021,0.068,0,0,0.7045,0,0,0,0.0126,0.0082,0,0,0.0012,0.0011,0.0024
9225,I3277,Europe,South Europe,Spain,3150-2850 BCE,4950,42.57,-2.57,0,0,0.0005,0,0.0027,0,0.0238,0.01,0,0,0,0,0,0.0054,0,0.0075,0,0,0.0144,0,0,0,0,0.0014,0,0.7391,0.1791,0,0,0,0.0092,0,0,0.0066
9226,I3326,Europe,South Europe,Spain,250-200 BCE,2175,42.006615,3.078667,0,0,0,0,0,0.0224,0,0,0,0,0,0.0473,0.0844,0,0,0,0,0.0096,0,0.0038,0,0,0,0,0,0.0553,0.1192,0.6323,0,0.0235,0,0,0,0.002
9227,I3327,Europe,South Europe,Spain,250-200 BCE,2175,42.006615,3.078667,0,0.0064,0.0016,0,0,0,0.0398,0,0.003,0,0,0,0.0053,0,0,0,0,0,0.0207,0,0,0,0,0,0,0.3843,0.1296,0.3336,0,0,0,0,0.071,0.0039
9228,I3492,Europe,South Europe,Spain,1850-1150 BCE,3450,40.8586,-5.3518,0,0.0053,0,0,0,0.0182,0,0,0.0059,0,0.0038,0.0054,0.0122,0,0,0,0,0.0113,0,0.006,0,0,0,0,0,0.3267,0.1787,0.2556,0,0.1058,0.0172,0,0.0432,0.0045
9229,I3621,Asia,East Asia,Taiwan,"258-413 calCE (1700¡À20 BP, PSUAMS-7912)",1595,24.32777778,121.7655556,0.0294,0,0,0,0.0006,0,0,0,0.0011,0,0.0003,0,0,0.0008,0.0015,0,0,0,0,0.0031,0.9571,0.0012,0.0024,0,0.0005,0,0,0,0,0.0004,0,0.0001,0,0.0006
9230,I3757,Europe,South Europe,Spain,400-300 BCE,2300,42.565,-2.58635,0,0,0.006,0,0,0.0304,0,0,0.0116,0,0.0324,0.0451,0.0859,0,0,0,0,0.0189,0,0,0.0077,0,0.0305,0.0116,0,0.1731,0.1201,0.3029,0,0.1,0,0.0017,0,0.0173
